kp,kd,max_inc,avg_reward,drop_rate,avg_min_offset,n_episodes
20.0,5.0,0.012,-6.1000000000000005,0.0,0.016131315401586636,6
20.0,5.0,0.005,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,8.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,12.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,5.0,0.012,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,8.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,12.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,8.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,12.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,8.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,12.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,5.0,0.008,-6.1000000000000005,0.0,0.016131315401586636,6
20.0,8.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,8.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,12.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,2.0,0.012,-11.5,0.0,0.01649012919186747,6
20.0,12.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,8.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,12.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,5.0,0.003,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,5.0,0.005,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,8.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
30.0,2.0,0.005,-11.5,0.0,0.01649012919186747,6
30.0,5.0,0.008,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,2.0,0.012,-11.5,0.0,0.01649012919186747,6
30.0,12.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
20.0,2.0,0.005,-11.5,0.0,0.01649012919186747,6
20.0,2.0,0.003,-11.5,0.0,0.01649012919186747,6
30.0,2.0,0.003,-11.5,0.0,0.01649012919186747,6
20.0,5.0,0.003,-6.1000000000000005,0.0,0.016131315401586636,6
30.0,2.0,0.008,-11.5,0.0,0.01649012919186747,6
40.0,5.0,0.005,-6.1000000000000005,0.0,0.016131315401586636,6
40.0,12.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,5.0,0.012,-6.1000000000000005,0.0,0.016131315401586636,6
40.0,8.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,2.0,0.003,-12.099999999999996,0.0,0.015479400226019987,6
40.0,2.0,0.005,-12.099999999999996,0.0,0.015479400226019987,6
40.0,2.0,0.008,-12.099999999999996,0.0,0.015479400226019987,6
50.0,5.0,0.008,-6.1000000000000005,0.0,0.016131315401586636,6
50.0,5.0,0.005,-6.1000000000000005,0.0,0.016131315401586636,6
20.0,2.0,0.008,-11.5,0.0,0.01649012919186747,6
40.0,8.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,5.0,0.012,-6.1000000000000005,0.0,0.016131315401586636,6
40.0,2.0,0.012,-12.099999999999996,0.0,0.015479400226019987,6
40.0,8.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,12.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,12.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,5.0,0.003,-6.1000000000000005,0.0,0.016131315401586636,6
40.0,12.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,8.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,8.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,5.0,0.003,-6.1000000000000005,0.0,0.016131315401586636,6
50.0,8.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,12.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,5.0,0.008,-6.1000000000000005,0.0,0.016131315401586636,6
50.0,12.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,12.0,0.003,-6.1000000000000005,0.0,0.019338779097771302,6
40.0,8.0,0.012,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,2.0,0.003,-12.099999999999996,0.0,0.015478491937984175,6
50.0,8.0,0.008,-6.1000000000000005,0.0,0.019338779097771302,6
50.0,2.0,0.012,-12.099999999999996,0.0,0.015479400226019987,6
50.0,2.0,0.008,-12.099999999999996,0.0,0.015479748875955832,6
50.0,2.0,0.005,-12.099999999999996,0.0,0.01547953850729718,6
50.0,12.0,0.005,-6.1000000000000005,0.0,0.019338779097771302,6
